Sex,Age,Mother job,Father job,Travel time,Hosteller,Study time,subjects_failed,edu_support,Extra paid,Extracurricular,higher_edu,Internet,"Free time  after college (1 less, 5 more)","Going out with friends (1 less, 5 more)",Health,10(%),12(%),1st sem,2nd sem,3rd sem
Male,21,other,other,86,no,2,1,no,yes,yes,yes,yes,3,4,2,91,62,75.14,71.73,69.64
Female,21,services,services,60,yes,1,0,yes,yes,yes,yes,yes,3,2,1,81.44,86.33,73.14,77.9,70
Female,22,teacher,health,96,yes,2,0,yes,no,yes,yes,no,2,2,5,91.68,91.5,79.42,72.8,67.76
Male,22,other,at_home,45,no,2,0,yes,no,yes,yes,yes,3,2,5,85,88,78.42,70,68.7
Female,21,services,other,32,no,2,0,yes,no,no,yes,yes,2,3,5,75.52,87.83,66.42,71.46,61.44
Male,22,health,teacher,20,yes,4,0,yes,no,yes,yes,no,4,4,4,88.64,87,56.85,64.4,43.41
Male,21,services,services,54,no,2,1,yes,no,yes,yes,yes,5,5,5,84.16,78.16,61.85,64.8,59.05
Male,21,other,services,90,yes,2,3,no,no,yes,yes,yes,4,3,1,64,66.7,0,0,46.82
Female,22,teacher,health,85,yes,2,0,yes,yes,yes,yes,yes,4,4,4,89.28,82,61.14,71.6,59.29
Female,21,services,services,100,no,2,1,no,no,yes,yes,yes,4,4,2,88.32,79,58.42,60.93,64.58
Female,21,teacher,services,64,no,1,1,yes,no,yes,yes,yes,4,3,1,6.8,84.17,62.57,61.46,64.23
Male,21,other,services,20,no,1,0,yes,no,yes,yes,yes,3,3,3,64,75,78.42,74.8,70.11
Female,22,services,other,25,no,1,0,yes,yes,no,yes,yes,3,3,5,93.76,87.83,75.71,68.8,68.94
Female,21,health,services,70,no,2,0,yes,yes,no,yes,yes,1,3,4,93.76,91.83,88.4,84.6,77.41
Male,27,other,other,80,no,2,0,yes,no,no,yes,yes,4,2,3,65.9,65.6,60.71,60.13,54.35
Female,24,other,other,10,no,2,0,yes,yes,no,yes,yes,3,2,5,78.88,75,61.85,55.73,63.29
Female,20,other,other,60,no,2,0,no,no,no,yes,yes,3,3,3,85.12,83,69.85,73.6,63.411
Male,21,other,other,180,no,2,0,yes,no,no,yes,yes,3,4,5,87.89,78.5,73.28,69.06,67.64
Male,23,other,other,150,yes,2,1,no,no,yes,yes,no,3,2,5,84.32,86.666,72,65.2,63.88
Male,24,other,services,40,no,1,0,yes,yes,yes,yes,yes,3,3,5,75,70,62.21,56.66,56.47
Female,22,teacher,other,200,no,2,0,yes,yes,yes,yes,yes,3,3,5,85,73,58.57,62.26,54.82
Female,21,teacher,other,55,no,3,0,no,no,yes,yes,yes,4,3,1,85.6,84,68.42,61.73,71.29
Female,21,other,other,67,no,2,0,no,yes,no,yes,yes,2,3,3,86.72,78.33,61.85,68,63.17
Female,21,other,other,88,no,2,0,yes,no,yes,no,yes,5,1,3,89.23,71,51.71,47.06,58.94
Male,22,at_home,other,94,no,4,0,yes,no,no,yes,yes,4,3,3,85.92,80.16,78.85,73.46,62.94
Female,21,other,services,54,no,4,2,yes,yes,yes,yes,yes,2,2,3,85.6,80,54.71,47.6,54.7
Female,22,other,other,32,no,2,0,no,yes,no,yes,yes,3,2,5,75,76,61.85,54.4,62.47
Male,22,services,other,80,no,4,0,yes,yes,no,yes,yes,4,4,5,75.04,78.16,66,52.4,51.88
